step,obj_values,accepted
1,18305.777009,false
1,17695.024816,true
1,17695.024816,true
1,17695.024816,true
1,17695.024816,true
1,17695.024816,true
1,17695.024816,true
1,17752.096575,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,17695.024816,false
1,17752.096575,false
1,13753.205398,true
1,16164.62843,false
1,13753.205398,true
1,16164.62843,false
1,13753.205398,true
1,17695.024816,false
1,16968.142302,false
1,13753.205398,true
1,16993.817775,false
1,16993.817775,false
1,13753.205398,true
1,15787.856488,false
1,15787.856488,false
1,16993.817775,false
1,13753.205398,true
1,13753.205398,true
1,18305.777009,false
1,16198.249909,false
1,18305.777009,false
1,16667.351592,false
1,13753.205398,true
1,15787.856488,false
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,17695.024816,false
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,16993.817775,false
1,16993.817775,false
1,14204.916501,false
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,18305.777009,false
1,18305.777009,false
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,18305.777009,false
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,17752.096575,false
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,18305.777009,false
1,18305.777009,false
1,13753.205398,true
1,18305.777009,false
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,18305.777009,false
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,16993.817775,false
1,16993.817775,false
1,16993.817775,false
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
1,13753.205398,true
